FID,CODE,NAME,ORIG_FID,POINT_X,POINT_Y
229,49001,北环大道,114,113.988534,22.559541
230,49001,北环大道,115,113.988534,22.559541
231,49001,北环大道,115,113.989173667,22.5593366667
232,49001,北环大道,116,113.989173667,22.5593366667
233,49001,北环大道,116,113.989813333,22.5591323333
234,49001,北环大道,117,113.989813333,22.5591323333
235,49001,北环大道,117,113.990453,22.558928
236,49001,北环大道,118,113.990453,22.558928
237,49001,北环大道,118,113.991118,22.55868
238,49001,北环大道,119,113.991118,22.55868
239,49001,北环大道,119,113.991783,22.558432
240,49001,北环大道,120,113.991783,22.558432
241,49001,北环大道,120,113.992448,22.558184
242,49001,北环大道,121,113.992448,22.558184
243,49001,北环大道,121,113.993097,22.5579095
244,49001,北环大道,122,113.993097,22.5579095
245,49001,北环大道,122,113.993746,22.557635
246,49001,北环大道,123,113.993746,22.557635
247,49001,北环大道,123,113.994395,22.5573605
248,49001,北环大道,124,113.994395,22.5573605
249,49001,北环大道,124,113.995044,22.557086
250,49001,北环大道,125,113.995044,22.557086
251,49001,北环大道,125,113.995614667,22.5568843333
252,49001,北环大道,126,113.995614667,22.5568843333
253,49001,北环大道,126,113.996185333,22.5566826667
254,49001,北环大道,127,113.996185333,22.5566826667
255,49001,北环大道,127,113.996756,22.556481
256,49001,北环大道,128,113.996756,22.556481
257,49001,北环大道,128,113.997349,22.556366
258,49001,北环大道,129,113.997349,22.556366
259,49001,北环大道,129,113.997833,22.556289
260,49001,北环大道,130,113.997833,22.556289
261,49001,北环大道,130,113.998331,22.556259
262,49001,北环大道,131,113.998331,22.556259
263,49001,北环大道,131,113.998977667,22.5562373333
264,49001,北环大道,132,113.998977667,22.5562373333
265,49001,北环大道,132,113.999624333,22.5562156667
266,49001,北环大道,133,113.999624333,22.5562156667
267,49001,北环大道,133,114.000271,22.556194
268,49001,北环大道,134,114.000271,22.556194
269,49001,北环大道,134,114.0010785,22.5561865
270,49001,北环大道,135,114.0010785,22.5561865
271,49001,北环大道,135,114.001886,22.556179
272,49001,北环大道,136,114.001886,22.556179
273,49001,北环大道,136,114.0025335,22.5562215
274,49001,北环大道,137,114.0025335,22.5562215
275,49001,北环大道,137,114.003181,22.556264
